monocots-15|Aeranthes_ramosa|AAC35020.1
monocots-12|Amblostoma_armeniacum|AAQ08359.1
monocots-1|Amorphophallus_amygdaloides|AAY40326.1
monocots-28|Lanaria_lanata|CAB01108.1
monocots-18|Aspidistra_sutepensis|BAD88425.1
monocots-23|Belamcanda_chinensis|CAC83852.1
monocots-21|Allium_altaicum|AAL35624.1
monocots-20|Agapanthus_africanus|CAA93192.1
monocots-25|Cryptostephanus_vansonii|AAF97645.1
monocots-10|Aloe_barbeiae|CAD54468.1
monocots-11|Asphodeline_lutea|CAD54450.1
monocots-19|Anemarrhena_asphodeloides|CAB01054.1
monocots-22|Moraea_bella|CAC83438.1
commelinids-11|Baumea_rubiginosa|AAX18736.1
commelinids-9|Abildgaardia_ovata|CAA73434.1
commelinids-7|Cyperus_tenellus|AAN76766.1
commelinids-10|Carex_conferta|CAA73448.1
commelinids-8|Cyperus_compressus|AAN76758.1
monocots-4|Coleogeton_pectinatus|AAB93783.1
monocots-9|Apalanthe_granatensis|AAB93777.1
monocots-7|Acorus_americanus|AAZ03937.1
monocots-8|Alisma_plantago-aquatica|AAA85294.1
monocots-26|Fritillaria_koidzumiana|BAA95480.1
monocots-24|Alophia_veracruzana|CAC83906.1
commelinids-5|Eichhornia_azurea|AAD09671.1
monocots-27|Clintonia_andrewsiana|BAB64895.1
magnoliids-1|Amborella_trichopoda|AAA92149.2
magnoliids-2|Kadsura_japonica|AAF14705.1
Lycopodiophyta-1|Huperzia_billardieri|CAC22245.1
Filicophyta-2|Campyloneurum_angustifolium|AAM21631.1
Filicophyta-4|Dictymia_brownii|AAM21635.1
Filicophyta-5|Polystichum_acrostichoides|AAN31726.1
Filicophyta-7|Ctenitis_eatonii|AAA19898.1
Filicophyta-3|Aglaomorpha_acuminata|AAT02609.1
Filicophyta-1|Goniophlebium_argutum|ABB77312.1
Filicophyta-6|Asplenium_yoshinagae|AAU29066.1
Equisetophyta-1|Equisetum_arvense|AAP48586.1
Cyanobacteria-1|Tolypothrix_sp|BAE80681.1
